الا عاملين Dislike دول اكيد مش بيفهمو وربنا 😏😏,negative
nooo way الغبي هيفضل غبي,negative
اللى عامل unlike دا ما بيفهمش والله,negative
اتجوزتيه وانت عندك ١٨ سنه وقعدتى ١٧ سنه متجوزاه وبقالك سنه منفصلة يعنى حضرتك عندك ٣٥ سنه ؟؟؟!!! ده عند أمه يا أدهم 😁 fake وماعجبتنيش,negative
"خطأ طبي في 2021؟؟؟؟؟ 
Shame on you Egypt 🤦‍♀️🤦‍♀️",negative
ما هذا ال shit,negative
فكرة اللمبي مسروقة من شخصية Jerry lewiss  اكتبو علي يوتيوب الاسم ده يطلع لكم افلامه,negative
"اللى عاملين Unlike اغبى منه فيه
مايعرفون من فن",negative
690 dislike ليييييييييييييييييييييييييه انتوا ما بتحسوش ؟؟؟!!!!,negative
نفسي افهم مين المجنون اللي داس dislike,negative
انا مش عارف اللى بيعمل dis like ده بيعمله ازاى صحيح مش كل الناس بتفهم,negative
و ربنا اللي عامل dislike دا مش بيفهم في الاغاني :/,negative
"اللى عامل Dislike للأغنية دى مش عاملها علشان صوت دنيا وحش او الكلمات مش حلوة
هو عامل Dislike علشان اتفشخ فى احساسه بزيادة",negative
"يا بنت الحرامية سارقه الفكرة من Indila - la derniere danse

يا حراميا",negative
صوتها ضعيف جدا و الاغنية FAKE اويييييي :&,negative
"مين البهايم مع الاعتذار للبهايم ,,, اللي عاملين Dislike !!!",negative
في التعليقات بنات بتكتب السونج دي .. السونج السونج .. اسمها أغنية بالعربي او song بالانجليزي .. ايه القرف دا .. يا تكتبي الجملة كاملة عربي يا كاملة انجليزي او فرنسي او اي لغة .. حاجة مستفزة ..,negative
على فكره دى عالم اغبيا اصلا ميعرفوش like من dislike,negative
اية الغلاسة دي ?! طيب متفترقوش بس تعمل unlike عشان التفاهة دي !,negative
اللـ عاملين unlike . . عايزين يتحاكموا,negative
"752 Dislike ? 
انتوا شكلكوا من الى بيحبوا اوكا و اورتيجا",negative
726 عاملين dislike دول موش بيفهمو,negative
710 Dislike   انتو عايشين إزاي كدا ؟,negative
الـــنـــاس الـــلـــي عـــامـــلـــيـــن Dislike دول آخـــرهـــم يـــســـمـــعـــوا أوكآآآ و اورتيجآآآ,negative
ده في ناس عاملة dislike :/ الناس دي جاية من كوكب تاني ولا ايه,negative
يلي عامل dislike قلبو حجر,negative
في 89 حمار عاملين Unlike :-/,negative
اموت واعرف مين ولاد المره اللي عاملين dislike -_- >_<,negative
الناس اللى عامله dislike  مش هيموتو موته طبيعية,negative
3 اللى عاملين dislike دول لازم يتشنقو فى ميدان عام,negative
"انا نفسي اشوف اللي عاملين dis like.
عشان انفخهم",negative
هشام جمال ده شخصية fake,negative
"Rudy manc فكرة المزيكا من 
غبي حافظ مش فاهم ابتكرو وبلاش غباء",negative
اللي دايس dislike احب اقولك انت مبتفهمش,negative
"14 k dislikes 
فعلا ناس بتكره الجمال ناس بتكره نفسها ربنا يهديهم لنفسهم",negative
13000 مريض عاملين Dislike   >>>>,negative
نفسى اهم اى باقف عامل dislike على الفيديو على اساس ايه..,negative
هو اللى عاملين unlike دول مرضى نفسيين,negative
الناس الحلاليف اللي عاملين unlike ملتهم ايه,negative
الناس اللى عاملة dislike دى عاملاه على ايه ؟؟؟ انتو ناس طبيعية ؟؟😣😣,negative
"رامز جلال 
ur not good ur sick 
انت خطير على المجتمع 🌚🌚🌚💟💟💟",negative
مش عاجبني ال intro,negative
Dislike وأفتخر ✌🏻,negative
حلقه fake جدا,negative
"الاغنية مسروقة من فيلم هندي اسمه KGF و تتر النهاية كذلك
لينك الاغنية الأصلية",negative
التتر مسروق من أغنية اجنبية اسمها the future of warfare,negative
"الأغنية مسروقة بالحرف من هنا؛: 
The future of warfare sabaton",negative
"كثير اكره زينه بس انت غلطت معها ولازم تدفع ثمن الغلط لانه الاطفال مالهم اي ذنب 
وانت تعرف تماما انهم اولادك من تحليل DNA",negative
ربنا ينتقم منك يا احمد عز ربنا ظهر الحق لو دول مش عياله كان راح عمل تحليل DNA وكان قطع الشك باليقين لكنه هرب ﻻنه جبان ومش راجل زي الحرامي يعمل العملة وبهرب,negative
انتا مشخصاتي يعني بتحلف كدب روح اعمل dna واحسم لو انتا واثق من حالك ومظلوم,negative
"حسستني اخذت الاوسكار
Over over",negative
هى over ليه كدة,negative
انا داخل بس اعملكم DISLIKE,negative
"No comment 🤮🤮🤮🤮🤮
بجد حاجة أخر إسفاف ورخص",negative
احلي dislike علي عيونكم 😂🙂,negative
كنت متوقعه انه يكون وحش بس بعد مشوفته طلع eggs,negative
ايه الخرا دا wtf,negative
كدا كتير ياعمر بجد حرااااااام ومش اسف انى عملت dislike,negative
كالعادة مش خسارة فيك ال dislike و ال report 😇,negative
داخل اعمل dislike  وامشي,negative
لما تعمل video clib ب اتنين جنيه,negative
اخراجيا تعبانة اوي ومطلعش من زوية شكلك فيها مش حلو والفيديو من متلون متاخد كادرات غبية طب الاخراج الاغنية بقا ازبل من الاخراج لحن خرا وكلمات اخرا overall shit,negative
خرة يا فنانة انا للأسف عملت كومنت وعملت ليكم قيمة بس حرفيا اوسخ اغنية سمعتها في حياتي انتوا couple لايق على بعضه,negative
"I think :
ان الاغنيه خرا اوي يعني بجد",negative
محبتش اكمل الحلقه بعد ما سمعت اول جمله لبسمه مع dislike,negative
بسمه وهبه بتشتغل ع الفضايح بس عشان ال views ، مذيعه خرا 🤮🤮,negative
اللحن مسروق من أغنية ho jaane do aar paar من فيلم KGF,negative
10 ألاف dislike من تجار المخدرات 🙃,negative
تجار الحشيش عاملين dislike,negative
8400 الف مختل عقليا عامل unlike,negative
اللى عامل dislike مبيفهمش,negative
اللي عملين dislike انتوا ناس معاقين,negative
والله القناه الوحيده اللي بيسيب الاعلان شغال ومش بعملو skip,negative
المتوحدين فشخ الى عاملين dislike ؟!!,negative
الناس اللي dislike انتو محتاجين تتعالجوا,negative
1.1k dislike يا كفره 😂😂,negative
انا اطالب بإعدام ال25 الف متخلف الي عاملين Dislike,negative
٢٥ ألف جاحد عاملين dislike,negative
مين الحيوانات اللي عاملين dislike دول ...,negative
الموسيقى مسروقة حرفياً من مسلسل better call saul الجزء الأول، الحلقة الثامنة، الدقيقة 26,negative
"23 الف unlike ؟؟؟؟؟؟؟؟؟؟
انتوا مرضى نفسيين صراحه عاوزين التعري والكلام البذيء عشان يعجبكم",negative
اللحن مسروق من موسيقي اسمها cold coffe للأسف,negative
الناس إلى عامله dislike دول عالم متوحدة,negative
20 ألف عرص عاملين dislike,negative
آل 19 الف المعقدين الي عاملين un like دول يغور من هنا لو مش عجبهم الأغنية يبعدو عننا بعقدهم 😒😒😒,negative
انا نفسي أعرف ال17000 دول مش عاملين like ليه اكيد دول مش بيفهموا,negative
الموسيقي كلها مسروقة من موسيقي  Galt macdermon   coffee cold  بطل سرقة بقا فين الكريتيفيتي,negative
فى ٩٠٠٠ لطخ عاملين un like مش فاهم لى,negative
في 8000 متخلف عامل dislike الله ينعل ميتن ابوكم عالم مقرفة,negative
الناس الي بتعمل dis like دي مريضه 😃,negative
في 5000 معاق عاملين unlike 😂😂,negative
4k dislike تلقيهم من سكان المعادي.,negative
3k dislike دول العيال السيس 👊🐸,negative
الموسيقى مسروقة من Galt MacDermot -Coffee cold,negative
"الناس إللي عاملين UNLIKE للكليب ..
أنا مستغربكم بصراحة ...
أنتوا أعداء النجاح صح ؟؟؟",negative
في ٦٠٠ عاملين unlike، أراهن إنهم under age .,negative
في اتنين واربعين جحش عاملين unlike,negative
فعلا مريضة dislike الناس الي عملت,negative
16 الف متوحد عامل dislike,negative
سارق اغنية lgnawi boya,negative
